1,Afghanistan,Asia
2,Albania,Europe
3,Algeria,Africa
4,Andorra,Europe
5,Angola,Africa
6,Antigua and Barbuda,North America
7,Argentina,South America
8,Armenia,Asia
9,Australia,Oceania
10,Austria,Europe
11,Azerbaijan,Asia
12,Bahamas,North America
13,Bahrain,Asia
14,Bangladesh,Asia
15,Barbados,North America
16,Belarus,Europe
17,Belgium,Europe
18,Belize,North America
19,Benin,Africa
20,Bhutan,Asia
21,Bolivia,South America
22,Bosnia and Herzegovina,Europe
23,Botswana,Africa
24,Brazil,South America
25,Brunei,Asia
26,Bulgaria,Europe
27,Burkina Faso,Africa
28,Burma,Asia
29,Burundi,Africa
30,Cabo Verde,Africa
31,Cambodia,Asia
32,Cameroon,Africa
33,Canada,North America
34,Central African Republic,Africa
35,Chad,Africa
36,Chile,South America
37,China,Asia
38,Colombia,South America
39,Comoros,Africa
40,Congo (Brazzaville),Africa
41,Congo (Kinshasa),Africa
42,Costa Rica,North America
43,Cote d'Ivoire,Africa
44,Croatia,Europe
45,Cuba,North America
46,Cyprus,Europe
47,Czechia,Europe
48,Denmark,Europe
49,Djibouti,Africa
50,Dominica,North America
51,Dominican Republic,North America
52,Ecuador,South America
53,Egypt,Africa
54,El Salvador,North America
55,Equatorial Guinea,Africa
56,Eritrea,Africa
57,Estonia,Europe
58,Eswatini,Africa
59,Ethiopia,Africa
60,Fiji,Oceania
61,Finland,Europe
62,France,Europe
63,Gabon,Africa
64,Gambia,Africa
65,Georgia,Asia
66,Germany,Europe
67,Ghana,Africa
68,Greece,Europe
69,Grenada,North America
70,Guatemala,North America
71,Guinea,Africa
72,Guinea-Bissau,Africa
73,Guyana,South America
74,Haiti,North America
75,Holy See,Europe
76,Honduras,North America
77,Hungary,Europe
78,Iceland,Europe
79,India,Asia
80,Indonesia,Asia
81,Iran,Asia
82,Iraq,Asia
83,Ireland,Europe
84,Israel,Asia
85,Italy,Europe
86,Jamaica,North America
87,Japan,Asia
88,Jordan,Asia
89,Kazakhstan,Asia
90,Kenya,Africa
91,Korea (South),Asia
92,Kosovo,Europe
93,Kuwait,Asia
94,Kyrgyzstan,Asia
95,Laos,Asia
96,Latvia,Europe
97,Lebanon,Asia
98,Lesotho,Africa
99,Liberia,Africa
100,Libya,Africa
101,Liechtenstein,Europe
102,Lithuania,Europe
103,Luxembourg,Europe
104,Madagascar,Africa
105,Malawi,Africa
106,Malaysia,Asia
107,Maldives,Asia
108,Mali,Africa
109,Malta,Europe
110,Marshall Islands,Oceania
111,Mauritania,Africa
112,Mauritius,Africa
113,Mexico,North America
114,Moldova,Europe
115,Monaco,Europe
116,Mongolia,Asia
117,Montenegro,Europe
118,Morocco,Africa
119,Mozambique,Africa
120,Namibia,Africa
121,Nepal,Asia
122,Netherlands,Europe
123,New Zealand,Oceania
124,Nicaragua,North America
125,Niger,Africa
126,Nigeria,Africa
127,North Macedonia,Europe
128,Norway,Europe
129,Oman,Asia
130,Pakistan,Asia
131,Panama,North America
132,Papua New Guinea,Oceania
133,Paraguay,South America
134,Peru,South America
135,Philippines,Asia
136,Poland,Europe
137,Portugal,Europe
138,Qatar,Asia
139,Romania,Europe
140,Russia,Europe
141,Rwanda,Africa
142,Saint Kitts and Nevis,North America
143,Saint Lucia,North America
144,Saint Vincent and the Grenadines,North America
145,Samoa,Oceania
146,San Marino,Europe
147,Sao Tome and Principe,Africa
148,Saudi Arabia,Asia
149,Senegal,Africa
150,Serbia,Europe
151,Seychelles,Africa
152,Sierra Leone,Africa
153,Singapore,Asia
154,Slovakia,Europe
155,Slovenia,Europe
156,Solomon Islands,Oceania
157,Somalia,Africa
158,South Africa,Africa
159,South Sudan,Africa
160,Spain,Europe
161,Sri Lanka,Asia
162,Sudan,Africa
163,Suriname,South America
164,Sweden,Europe
165,Switzerland,Europe
166,Syria,Asia
167,Taiwan,Asia
168,Tajikistan,Asia
169,Tanzania,Africa
170,Thailand,Asia
171,Timor,Asia
172,Togo,Africa
173,Trinidad and Tobago,North America
174,Tunisia,Africa
175,Turkey,Asia
176,Uganda,Africa
177,Ukraine,Europe
178,United Arab Emirates,Asia
179,United Kingdom,Europe
180,Uruguay,South America
181,US,North America
182,Uzbekistan,Asia
183,Vanuatu,Oceania
184,Venezuela,South America
185,Vietnam,Asia
186,West Bank and Gaza,Asia
187,Yemen,Asia
188,Zambia,Africa
189,Zimbabwe,Africa
